,Unnamed: 0.1,Unnamed: 0,aff_city,aff_city_id,aff_country,aff_country_code,aff_id,aff_name,aff_raw_affiliation,aff_state,aff_state_code,pub_id,researcher_id,first_name,last_name,isMinority_2020,isMinority_2022,Type2020,Type2022,MSI Type2020,MSI Type2022,full_name,gender
95,6698,2325,Albuquerque,5454711.0,United States,US,grid.266832.b,University of New Mexico,"Department of Emergency Medicine, Division of Critical Care, University of New Mexico Health Science Center, Albuquerque, New Mexico, United States of America",New Mexico,US-NM,pub.1139247574,ur.0615160021.20,Naomi,George,University of New Mexico,University of New Mexico-Gallup Campus,Pub 2yr,Public 2yr,HSI,HSI,Naomi George,female
99,7508,3135,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Zeenat Qureshi Stroke Institute, St. Cloud, Minnesota, USA",Minnesota,US-MN,pub.1130368954,ur.01021505152.91,Adnan I,Qureshi,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Adnan I Qureshi,male
100,7522,3149,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"From the Department of Pathology (F.S.A.), Yale School of Medicine, Yale University, New Haven, Connecticut; School of Information and Communication Engineering (L.A.), University of Electronic Science and Technology of China (UESTC), Chengdu, China; Department of Electrical Engineering (L.A.), University of Science and Technology, Bannu, Pakistan; Division of Trauma, Acute Care, Burn, and Emergency Surgery (B.A.J.), University of Arizona, Tucson, Arizona; Department of Neurology (A.I.), University of New Mexico, Albuquerque, New Mexico; Department of Computer Science (R.-u.-M.), COMSATS University Islamabad, Islamabad, Pakistan; and Division of Computer Science, Mathematics, and Science (Healthcare Informatics) (S.A.C.B.), St. John's University, New York, New York.",Arizona,US-AZ,pub.1130026961,ur.015424153063.35,Fahad Shabbir,Ahmed,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Fahad Shabbir Ahmed,male
102,7582,3209,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Department of Ophthalmology, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1129036509,ur.012650531423.18,Elysse,Tom,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Elysse Tom,female
104,7588,3215,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Department of Ophthalmology, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1129036509,ur.012146326257.05,Aaron Y.,Lee,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Aaron Y. Lee,male
105,7589,3216,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Department of Ophthalmology, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1129036509,ur.012230642331.71,Cecilia S.,Lee,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Cecilia S. Lee,female
106,7689,3316,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Biomedical & Health Informatics, School of Medicine, University of Washington, Seattle, WA, USA. Electronic address: dhlee4@uw.edu.",Washington,US-WA,pub.1127145399,ur.015564411714.88,Dae Hyun,Lee,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Dae Hyun Lee,male
107,7690,3317,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Biomedical & Health Informatics, School of Medicine, University of Washington, Seattle, WA, USA.",Washington,US-WA,pub.1127145399,ur.0677257144.09,Meliha,Yetisgen,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Meliha Yetisgen,female
108,7691,3318,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Biomedical & Health Informatics, School of Medicine, University of Washington, Seattle, WA, USA.",Washington,US-WA,pub.1127145399,ur.0670704275.79,Lucy,Vanderwende,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Lucy Vanderwende,female
109,7692,3319,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Biomedical & Health Informatics, School of Medicine, University of Washington, Seattle, WA, USA; Microsoft Research, Redmond, WA, USA.",Washington,US-WA,pub.1127145399,ur.014435576703.41,Eric,Horvitz,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Eric Horvitz,male
110,7841,3468,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"University of Arizona College of Medicine, Tucson, AZ, USA",Arizona,US-AZ,pub.1123013613,ur.014370210717.09,Molly J.,Douglas,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Molly J. Douglas,female
111,7983,3610,New Brunswick,5101717.0,United States,US,grid.430387.b,"Rutgers, The State University of New Jersey","Division of Trauma and Surgical Critical Care, Rutgers New Jersey Medical School, Newark, New Jersey, USA.",New Jersey,US-NJ,pub.1121255579,ur.07646145772.84,David H,Livingston,"Rutgers, the State University of New Jersey",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,David H Livingston,male
112,8116,3743,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Radiology, University of California Davis, Sacramento, CA, 95817, USA",California,US-CA,pub.1114671404,ur.01347411506.31,Andrew M.,Hernandez,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Andrew M. Hernandez,male
113,8117,3744,Santa Barbara,5392952.0,United States,US,grid.133342.4,"University of California, Santa Barbara","Department of Psychological & Brain Sciences, University of California Santa Barbara, Santa Barbara, CA, 93106, USA",California,US-CA,pub.1114671404,ur.01047363626.73,Craig,Abbey,"University of California, Santa Barbara",Not Minority,Pub 4yr,Not Minority,HSI,Not Minority,Craig Abbey,male
114,8119,3746,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Radiology, University of California Davis, Sacramento, CA, 95817, USA",California,US-CA,pub.1114671404,ur.0735361473.54,John M.,Boone,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,John M. Boone,male
115,8137,3764,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Division of Gastroenterology and Hepatology, University of California, Davis School of Medicine, Sacramento, CA, USA",California,US-CA,pub.1112266252,ur.010745304102.88,JW,Leung,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,JW Leung,None
116,8144,3771,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Clinical and Translational Science Center, Department of Public Health Sciences, Division of Biostatistics, University of California, Davis, Sacramento, CA, USA",California,US-CA,pub.1112266252,,,Wilson,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,nan Wilson,
117,8581,4208,Chicago,4887398.0,United States,US,grid.185648.6,University of Illinois at Chicago,"Department of Pediatrics, University of Illinois College of Medicine, Urbana, IL.",Illinois,US-IL,pub.1029059183,,Michele,Mariscalco,University of Illinois at Chicago,Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Michele Mariscalco,male
118,8619,4246,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Department of Biostatistics, School of Public Health, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1002110638,ur.0763336515.10,Marco,Carone,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Marco Carone,male
119,9007,268,New Brunswick,5101717.0,United States,US,grid.430387.b,"Rutgers, The State University of New Jersey","Department of Medicine, Division of Pulmonary and Critical Care Medicine, Rutgers - New Jersey Medical School, University Hospital Building, Room I-354, 150 Bergen Street, Newark, NJ 07103, USA. Electronic address: yonatan@njms.rutgers.edu.",New Jersey,US-NJ,pub.1151034457,ur.0620647565.55,Yonatan Y,Greenstein,"Rutgers, the State University of New Jersey",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Yonatan Y Greenstein,male
120,9008,269,New Brunswick,5101717.0,United States,US,grid.430387.b,"Rutgers, The State University of New Jersey","Department of Medicine, Division of Pulmonary and Critical Care Medicine, Rutgers - New Jersey Medical School, University Hospital Building, Room I-354, 150 Bergen Street, Newark, NJ 07103, USA.",New Jersey,US-NJ,pub.1151034457,ur.016331523173.93,Keith,Guevarra,"Rutgers, the State University of New Jersey",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Keith Guevarra,male
121,9232,493,Chicago,4887398.0,United States,US,grid.185648.6,University of Illinois at Chicago,"Department of Mechanical and Industrial Engineering, University of Illinois at Chicago, 842 W Taylor Street, MC 251, 60607, Chicago, IL, USA",Illinois,US-IL,pub.1147539646,ur.014717031613.37,M.,Pishgar,University of Illinois at Chicago,Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,M. Pishgar,
122,9233,494,Chicago,4887398.0,United States,US,grid.185648.6,University of Illinois at Chicago,"Department of Mechanical and Industrial Engineering, University of Illinois at Chicago, 842 W Taylor Street, MC 251, 60607, Chicago, IL, USA",Illinois,US-IL,pub.1147539646,ur.014332254203.03,J.,Theis,University of Illinois at Chicago,Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,J. Theis,
123,9235,496,Chicago,4887398.0,United States,US,grid.185648.6,University of Illinois at Chicago,"Department of Cardiology Medicine, University of Illinois at Chicago, Chicago, USA",Illinois,US-IL,pub.1147539646,ur.01204552530.47,A.,Ardati,University of Illinois at Chicago,Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,A. Ardati,
124,9236,497,Chicago,4887398.0,United States,US,grid.185648.6,University of Illinois at Chicago,"Department of Mechanical and Industrial Engineering, University of Illinois at Chicago, 842 W Taylor Street, MC 251, 60607, Chicago, IL, USA",Illinois,US-IL,pub.1147539646,ur.014502307225.16,H.,Anahideh,University of Illinois at Chicago,Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,H. Anahideh,
125,9237,498,Chicago,4887398.0,United States,US,grid.185648.6,University of Illinois at Chicago,"Department of Mechanical and Industrial Engineering, University of Illinois at Chicago, 842 W Taylor Street, MC 251, 60607, Chicago, IL, USA",Illinois,US-IL,pub.1147539646,ur.01330452214.54,H.,Darabi,University of Illinois at Chicago,Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,H. Darabi,
126,10007,1268,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"School of Medicine, School of Public Health, and Institute for Health Informatics, University of Minnesota, Minneapolis, MN.",Minnesota,US-MN,pub.1138820071,ur.0604413006.33,R. Adams,Dudley,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,R. Adams Dudley,
127,10034,1295,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","University of California, 92697, Irvine, CA, USA",California,US-CA,pub.1138277454,ur.011112406051.47,Jake Y.,Akers,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Jake Y. Akers,male
128,10035,1296,Irvine,5359777.0,United States,US,grid.266093.8,"University of California, Irvine","University of California, 92697, Irvine, CA, USA",California,US-CA,pub.1138277454,ur.015473251051.36,Peter D.,Chang,"University of California, Irvine",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Peter D. Chang,male
129,11019,2280,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Department of Pediatrics, University of Washington, Seattle, WA 98195, USA.",Washington,US-WA,pub.1113668104,ur.0661574127.51,Amber,Hildreth,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Amber Hildreth,female
130,11382,2643,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Division of Internal Medicine, University of Washington School of Medicine, Seattle, Washington, USA.",Washington,US-WA,pub.1100666881,ur.012222307333.26,Grant,Fletcher,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Grant Fletcher,male
131,11701,2962,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Cambia Palliative Care Center of Excellence, Division of Pulmonary and Critical Care Medicine, University of Washington, Seattle, Washington",Washington,US-WA,pub.1032087725,ur.012634041317.01,J. Randall,Curtis,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,J. Randall Curtis,
132,11822,3083,Orlando,4167147.0,United States,US,grid.170430.1,University of Central Florida,"Department of Psychology and Institute for Simulation and Training, University of Central Florida, Orlando, Florida.",Florida,US-FL,pub.1059323981,ur.01326414072.49,Lauren E.,Benishek,University of Central Florida,University of Central Florida,Pub 4yr,Public 4yr,HSI,HSI,Lauren E. Benishek,female
133,11824,3085,Orlando,4167147.0,United States,US,grid.170430.1,University of Central Florida,"Department of Psychology and Institute for Simulation and Training, University of Central Florida, Orlando, Florida.",Florida,US-FL,pub.1059323981,ur.0652565775.88,Megan E.,Gregory,University of Central Florida,University of Central Florida,Pub 4yr,Public 4yr,HSI,HSI,Megan E. Gregory,female
134,11825,3086,Orlando,4167147.0,United States,US,grid.170430.1,University of Central Florida,"Department of Psychology and Institute for Simulation and Training, University of Central Florida, Orlando, Florida.",Florida,US-FL,pub.1059323981,ur.0604661023.51,Ashley M.,Hughes,University of Central Florida,University of Central Florida,Pub 4yr,Public 4yr,HSI,HSI,Ashley M. Hughes,female
135,11826,3087,Orlando,4167147.0,United States,US,grid.170430.1,University of Central Florida,"Department of Psychology and Institute for Simulation and Training, University of Central Florida, Orlando, Florida.",Florida,US-FL,pub.1059323981,ur.07772122021.88,Kyle,Heyne,University of Central Florida,University of Central Florida,Pub 4yr,Public 4yr,HSI,HSI,Kyle Heyne,male
137,11952,3213,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Department of Surgery, School of Medicine, University of Washington, Seattle, WA;",Washington,US-WA,pub.1078868677,ur.01305343136.05,Heather L,Evans,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Heather L Evans,female
138,11953,3214,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Pulmonary and Critical Care Medicine, School of Medicine, University of Washington, Seattle, WA;",Washington,US-WA,pub.1078868677,ur.01361603261.60,Mark M,Wurfel,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Mark M Wurfel,male
139,11954,3215,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Biomedical and Health Informatics, School of Medicine, University of Washington, Seattle, WA; ; Department of Linguistics, University of Washington, Seattle, WA.",Washington,US-WA,pub.1078868677,ur.01222017372.96,Meliha,Yetisgen-Yildiz,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Meliha Yetisgen-Yildiz,female
140,12064,3325,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Department of Biomedical and Health Informatics, School of Medicine, University of Washington, Seattle, Washington, USA",Washington,US-WA,pub.1024038985,ur.01346175175.05,Cosmin Adrian,Bejan,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Cosmin Adrian Bejan,male
141,12065,3326,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Department of Biomedical and Health Informatics, School of Medicine, University of Washington, Seattle, Washington, USA",Washington,US-WA,pub.1024038985,ur.01075423520.67,Fei,Xia,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Fei Xia,male
147,12073,3334,Atlanta,4180439.0,United States,US,grid.256304.6,Georgia State University,"Department of Chemistry, Georgia State University, Atlanta, GA 30303, USA",Georgia,US-GA,pub.1005869374,ur.01364657616.72,Hanjing,Peng,Georgia State University,Georgia State University,Pub 4yr,Public 4yr,AANAPISI & PBI,AANAPISI,Hanjing Peng,female
148,12074,3335,Atlanta,4180439.0,United States,US,grid.256304.6,Georgia State University,"Department of Chemistry, Georgia State University, Atlanta, GA 30303, USA",Georgia,US-GA,pub.1005869374,ur.01221034713.16,Nanting,Ni,Georgia State University,Georgia State University,Pub 4yr,Public 4yr,AANAPISI & PBI,AANAPISI,Nanting Ni,
149,12075,3336,Atlanta,4180439.0,United States,US,grid.256304.6,Georgia State University,"Department of Chemistry, Georgia State University, Atlanta, GA 30303, USA",Georgia,US-GA,pub.1005869374,ur.011465456237.14,Binghe,Wang,Georgia State University,Georgia State University,Pub 4yr,Public 4yr,AANAPISI & PBI,AANAPISI,Binghe Wang,
150,12259,3520,Miami,4164138.0,United States,US,grid.65456.34,Florida International University,"School of Computer Science and Information Sciences, Florida International University, Miami, FL, USA, 33199",Florida,US-FL,pub.1061717845,ur.015006666331.40,Tao,Li,Florida International University,Florida International University,Pub 4yr,Public 4yr,HSI,HSI,Tao Li,male
151,12863,487,New Brunswick,5101717.0,United States,US,grid.430387.b,"Rutgers, The State University of New Jersey","New Jersey Medical School, Rutgers University, Newark, New Jersey; and",New Jersey,US-NJ,pub.1136997363,ur.010155032467.28,Matthew,Linz,"Rutgers, the State University of New Jersey",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Matthew Linz,male
153,14043,1667,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","School of Medicine, University of California Davis, Sacramento, CA, USA",California,US-CA,pub.1092446442,ur.013266764757.53,Monica K.,Lieng,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Monica K. Lieng,female
155,14045,1669,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Computer Science, University of California Davis, Davis, CA, USA",California,US-CA,pub.1092446442,,Greg B.,Rehm,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Greg B. Rehm,male
156,14046,1670,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Computer Science, University of California Davis, Davis, CA, USA",California,US-CA,pub.1092446442,ur.012471404357.11,Edward C.,Guo,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Edward C. Guo,male
157,14047,1671,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Public Health Sciences, Division of Biostatistics, University of California Davis, Davis, CA, USA",California,US-CA,pub.1092446442,ur.01165321751.84,Sandra L.,Taylor,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Sandra L. Taylor,female
158,14048,1672,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Mechanical and Aerospace Engineering, University of California Davis, Davis, CA, USA",California,US-CA,pub.1092446442,ur.01160206124.80,Jean-Pierre,Delplanque,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Jean-Pierre Delplanque,
160,14187,1811,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the University of Minnesota Medical School, Minneapolis, Minnesota; Center for Design in Health, College of Design and Department of Anesthesiology, University of Minnesota, Minneapolis, Minnesota; Department of Anesthesiology, Harvard Medical School, Brigham and Women’s Hospital, Boston, Massachusetts; and Department of Cardiac Surgery and Department of Anesthesiology, Anesthesiology American Anesthesia of Minnesota, Minneapolis Heart Institute at Abbott Northwestern Hospital, Minneapolis, Minnesota.",Minnesota,US-MN,pub.1085554115,,Kathleen A.,Harder,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Kathleen A. Harder,female
161,14191,1815,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the University of Minnesota Medical School, Minneapolis, Minnesota; Center for Design in Health, College of Design and Department of Anesthesiology, University of Minnesota, Minneapolis, Minnesota; Department of Anesthesiology, Harvard Medical School, Brigham and Women’s Hospital, Boston, Massachusetts; and Department of Cardiac Surgery and Department of Anesthesiology, Anesthesiology American Anesthesia of Minnesota, Minneapolis Heart Institute at Abbott Northwestern Hospital, Minneapolis, Minnesota.",Minnesota,US-MN,pub.1085554115,ur.01242744372.51,Ioanna,Apostolidou,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Ioanna Apostolidou,female
162,14195,1819,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the University of Minnesota Medical School, Minneapolis, Minnesota; Center for Design in Health, College of Design and Department of Anesthesiology, University of Minnesota, Minneapolis, Minnesota; Department of Anesthesiology, Harvard Medical School, Brigham and Women’s Hospital, Boston, Massachusetts; and Department of Cardiac Surgery and Department of Anesthesiology, Anesthesiology American Anesthesia of Minnesota, Minneapolis Heart Institute at Abbott Northwestern Hospital, Minneapolis, Minnesota.",Minnesota,US-MN,pub.1085554115,ur.01157276172.83,Joyce A.,Wahr,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Joyce A. Wahr,female
163,14199,1823,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the University of Minnesota Medical School, Minneapolis, Minnesota; Center for Design in Health, College of Design and Department of Anesthesiology, University of Minnesota, Minneapolis, Minnesota; Department of Anesthesiology, Harvard Medical School, Brigham and Women’s Hospital, Boston, Massachusetts; and Department of Cardiac Surgery and Department of Anesthesiology, Anesthesiology American Anesthesia of Minnesota, Minneapolis Heart Institute at Abbott Northwestern Hospital, Minneapolis, Minnesota.",Minnesota,US-MN,pub.1085554115,ur.0651160042.73,Douglas C.,Shook,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Douglas C. Shook,male
164,14203,1827,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the University of Minnesota Medical School, Minneapolis, Minnesota; Center for Design in Health, College of Design and Department of Anesthesiology, University of Minnesota, Minneapolis, Minnesota; Department of Anesthesiology, Harvard Medical School, Brigham and Women’s Hospital, Boston, Massachusetts; and Department of Cardiac Surgery and Department of Anesthesiology, Anesthesiology American Anesthesia of Minnesota, Minneapolis Heart Institute at Abbott Northwestern Hospital, Minneapolis, Minnesota.",Minnesota,US-MN,pub.1085554115,ur.01125214473.41,R. Saeid,Farivar,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,R. Saeid Farivar,
165,14207,1831,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the University of Minnesota Medical School, Minneapolis, Minnesota; Center for Design in Health, College of Design and Department of Anesthesiology, University of Minnesota, Minneapolis, Minnesota; Department of Anesthesiology, Harvard Medical School, Brigham and Women’s Hospital, Boston, Massachusetts; and Department of Cardiac Surgery and Department of Anesthesiology, Anesthesiology American Anesthesia of Minnesota, Minneapolis Heart Institute at Abbott Northwestern Hospital, Minneapolis, Minnesota.",Minnesota,US-MN,pub.1085554115,ur.01065113732.01,Tjorvi E.,Perry,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Tjorvi E. Perry,male
166,14211,1835,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the University of Minnesota Medical School, Minneapolis, Minnesota; Center for Design in Health, College of Design and Department of Anesthesiology, University of Minnesota, Minneapolis, Minnesota; Department of Anesthesiology, Harvard Medical School, Brigham and Women’s Hospital, Boston, Massachusetts; and Department of Cardiac Surgery and Department of Anesthesiology, Anesthesiology American Anesthesia of Minnesota, Minneapolis Heart Institute at Abbott Northwestern Hospital, Minneapolis, Minnesota.",Minnesota,US-MN,pub.1085554115,ur.01014625045.54,Mojca R.,Konia,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Mojca R. Konia,female
167,14329,1953,Tempe,5317058.0,United States,US,grid.215654.1,Arizona State University,"Arizona State University, Tempe, Arizona.",Arizona,US-AZ,pub.1079391961,,Alyssa,Chauncey,Arizona State University,Not Minority,Pub 4yr,Not Minority,HSI,Not Minority,Alyssa Chauncey,female
168,14840,2464,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Department of Child Health, Phoenix Children’s Hospital and University of Arizona College of Medicine-Phoenix, Phoenix, AZ.",Arizona,US-AZ,pub.1037999071,ur.01247300317.00,Heidi,Dalton,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Heidi Dalton,female
169,15111,2735,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"The Pennsylvania State University, Hershey, PA",Pennsylvania,US-PA,pub.1051686487,ur.0603575756.46,Scott B.,Armen,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Scott B. Armen,male
170,15112,2736,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"The Pennsylvania State University, Hershey, PA",Pennsylvania,US-PA,pub.1051686487,ur.013351572423.97,Carol V.,Freer,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Carol V. Freer,female
171,15113,2737,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"The Pennsylvania State University, Hershey, PA",Pennsylvania,US-PA,pub.1051686487,,John W.,Showalter,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,John W. Showalter,male
172,15114,2738,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"The Pennsylvania State University, Hershey, PA",Pennsylvania,US-PA,pub.1051686487,ur.01164004320.24,Tonya,Crook,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Tonya Crook,female
173,15115,2739,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"The Pennsylvania State University, Hershey, PA",Pennsylvania,US-PA,pub.1051686487,ur.0765710033.30,Cynthia J.,Whitener,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Cynthia J. Whitener,female
174,15116,2740,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"The Pennsylvania State University, Hershey, PA",Pennsylvania,US-PA,pub.1051686487,ur.01333455452.11,Cheri,West,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Cheri West,female
175,15117,2741,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"The Pennsylvania State University, Hershey, PA",Pennsylvania,US-PA,pub.1051686487,ur.0730047772.35,Thomas E.,Terndrup,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Thomas E. Terndrup,male
176,15118,2742,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"The Pennsylvania State University, Hershey, PA",Pennsylvania,US-PA,pub.1051686487,ur.01074375555.72,Marissa,Grifasi,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Marissa Grifasi,female
177,15119,2743,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"The Pennsylvania State University, Hershey, PA",Pennsylvania,US-PA,pub.1051686487,ur.01361344030.22,Christopher J.,DeFlitch,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Christopher J. DeFlitch,male
