,Unnamed: 0.1,Unnamed: 0,aff_city,aff_city_id,aff_country,aff_country_code,aff_id,aff_name,aff_raw_affiliation,aff_state,aff_state_code,pub_id,researcher_id,first_name,last_name,year,gender,gender_ints,income_class,income_class_num,isMinority_2020,isMinority_2022,Type2020,Type2022,MSI Type2020,MSI Type2022,full_name
88,5206,1568,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,University of Washington.,Washington,US-WA,pub.1142619372,ur.01325624662.93,W,Liles,2021,,,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,W Liles
89,5207,1569,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,University of Washington.,Washington,US-WA,pub.1142619372,ur.01261022722.46,Pavan,Bhatraju,2021,male,0.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Pavan Bhatraju
90,5536,1939,Riverside,5387877.0,United States,US,grid.266097.c,"University of California, Riverside","Department of Statistics, University of California, Los Angeles, CA, USA",California,US-CA,pub.1140147019,,Sidong,Wang,2021,male,0.0,High income,4.0,"University of California, Riverside",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Sidong Wang
91,5552,1955,New Brunswick,5101717.0,United States,US,grid.430387.b,"Rutgers, The State University of New Jersey","Department of Medicine, Rutgers Robert Wood Johnson Medical School, New Brunswick, NJ.",New Jersey,US-NJ,pub.1140525967,ur.0650154742.42,Jared,Radbel,2021,male,0.0,High income,4.0,"Rutgers, the State University of New Jersey",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Jared Radbel
93,5679,2094,Albuquerque,5454711.0,United States,US,grid.266832.b,University of New Mexico,"Department of Emergency Medicine, Division of Critical Care, University of New Mexico Health Science Center, Albuquerque, New Mexico, United States of America",New Mexico,US-NM,pub.1139247574,ur.0615160021.20,Naomi,George,2021,female,1.0,High income,4.0,University of New Mexico,University of New Mexico-Gallup Campus,Pub 2yr,Public 2yr,HSI,HSI,Naomi George
97,6420,2904,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"Zeenat Qureshi Stroke Institute, St. Cloud, Minnesota, USA",Minnesota,US-MN,pub.1130368954,ur.01021505152.91,Adnan I,Qureshi,2020,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Adnan I Qureshi
98,6434,2918,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"From the Department of Pathology (F.S.A.), Yale School of Medicine, Yale University, New Haven, Connecticut; School of Information and Communication Engineering (L.A.), University of Electronic Science and Technology of China (UESTC), Chengdu, China; Department of Electrical Engineering (L.A.), University of Science and Technology, Bannu, Pakistan; Division of Trauma, Acute Care, Burn, and Emergency Surgery (B.A.J.), University of Arizona, Tucson, Arizona; Department of Neurology (A.I.), University of New Mexico, Albuquerque, New Mexico; Department of Computer Science (R.-u.-M.), COMSATS University Islamabad, Islamabad, Pakistan; and Division of Computer Science, Mathematics, and Science (Healthcare Informatics) (S.A.C.B.), St. John's University, New York, New York.",Arizona,US-AZ,pub.1130026961,ur.015424153063.35,Fahad Shabbir,Ahmed,2020,male,0.0,High income,4.0,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Fahad Shabbir Ahmed
100,6488,2978,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Department of Ophthalmology, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1129036509,ur.012650531423.18,Elysse,Tom,2020,female,1.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Elysse Tom
102,6494,2984,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Department of Ophthalmology, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1129036509,ur.012146326257.05,Aaron Y.,Lee,2020,male,0.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Aaron Y. Lee
103,6495,2985,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Department of Ophthalmology, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1129036509,ur.012230642331.71,Cecilia S.,Lee,2020,female,1.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Cecilia S. Lee
104,6595,3085,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Biomedical & Health Informatics, School of Medicine, University of Washington, Seattle, WA, USA. Electronic address: dhlee4@uw.edu.",Washington,US-WA,pub.1127145399,ur.015564411714.88,Dae Hyun,Lee,2020,male,0.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Dae Hyun Lee
105,6596,3086,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Biomedical & Health Informatics, School of Medicine, University of Washington, Seattle, WA, USA.",Washington,US-WA,pub.1127145399,ur.0677257144.09,Meliha,Yetisgen,2020,female,1.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Meliha Yetisgen
106,6597,3087,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Biomedical & Health Informatics, School of Medicine, University of Washington, Seattle, WA, USA.",Washington,US-WA,pub.1127145399,ur.0670704275.79,Lucy,Vanderwende,2020,female,1.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Lucy Vanderwende
107,6598,3088,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Biomedical & Health Informatics, School of Medicine, University of Washington, Seattle, WA, USA; Microsoft Research, Redmond, WA, USA.",Washington,US-WA,pub.1127145399,ur.014435576703.41,Eric,Horvitz,2020,male,0.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Eric Horvitz
108,6747,3237,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"University of Arizona College of Medicine, Tucson, AZ, USA",Arizona,US-AZ,pub.1123013613,ur.014370210717.09,Molly J.,Douglas,2019,female,1.0,High income,4.0,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Molly J. Douglas
109,6889,3379,New Brunswick,5101717.0,United States,US,grid.430387.b,"Rutgers, The State University of New Jersey","Division of Trauma and Surgical Critical Care, Rutgers New Jersey Medical School, Newark, New Jersey, USA.",New Jersey,US-NJ,pub.1121255579,ur.07646145772.84,David H,Livingston,2019,male,0.0,High income,4.0,"Rutgers, the State University of New Jersey",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,David H Livingston
110,7022,3512,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Radiology, University of California Davis, Sacramento, CA, 95817, USA",California,US-CA,pub.1114671404,ur.01347411506.31,Andrew M.,Hernandez,2019,male,0.0,High income,4.0,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Andrew M. Hernandez
111,7023,3513,Santa Barbara,5392952.0,United States,US,grid.133342.4,"University of California, Santa Barbara","Department of Psychological & Brain Sciences, University of California Santa Barbara, Santa Barbara, CA, 93106, USA",California,US-CA,pub.1114671404,ur.01047363626.73,Craig,Abbey,2019,male,0.0,High income,4.0,"University of California, Santa Barbara",Not Minority,Pub 4yr,Not Minority,HSI,Not Minority,Craig Abbey
112,7025,3515,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Radiology, University of California Davis, Sacramento, CA, 95817, USA",California,US-CA,pub.1114671404,ur.0735361473.54,John M.,Boone,2019,male,0.0,High income,4.0,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,John M. Boone
113,7043,3533,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Division of Gastroenterology and Hepatology, University of California, Davis School of Medicine, Sacramento, CA, USA",California,US-CA,pub.1112266252,ur.010745304102.88,Jw,Leung,2019,male,0.0,High income,4.0,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Jw Leung
114,7050,3540,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Clinical and Translational Science Center, Department of Public Health Sciences, Division of Biostatistics, University of California, Davis, Sacramento, CA, USA",California,US-CA,pub.1112266252,,,Wilson,2019,,,High income,4.0,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,nan Wilson
115,7478,3977,Chicago,4887398.0,United States,US,grid.185648.6,University of Illinois at Chicago,"Department of Pediatrics, University of Illinois College of Medicine, Urbana, IL.",Illinois,US-IL,pub.1029059183,,Michele,Mariscalco,2015,male,0.0,High income,4.0,University of Illinois at Chicago,Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Michele Mariscalco
116,7516,4015,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Department of Biostatistics, School of Public Health, University of Washington, Seattle, WA, USA",Washington,US-WA,pub.1002110638,ur.0763336515.10,Marco,Carone,2014,male,0.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Marco Carone
117,7826,228,New Brunswick,5101717.0,United States,US,grid.430387.b,"Rutgers, The State University of New Jersey","Department of Medicine, Division of Pulmonary and Critical Care Medicine, Rutgers - New Jersey Medical School, University Hospital Building, Room I-354, 150 Bergen Street, Newark, NJ 07103, USA. Electronic address: yonatan@njms.rutgers.edu.",New Jersey,US-NJ,pub.1151034457,ur.0620647565.55,Yonatan Y,Greenstein,2022,male,0.0,High income,4.0,"Rutgers, the State University of New Jersey",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Yonatan Y Greenstein
118,7827,229,New Brunswick,5101717.0,United States,US,grid.430387.b,"Rutgers, The State University of New Jersey","Department of Medicine, Division of Pulmonary and Critical Care Medicine, Rutgers - New Jersey Medical School, University Hospital Building, Room I-354, 150 Bergen Street, Newark, NJ 07103, USA.",New Jersey,US-NJ,pub.1151034457,ur.016331523173.93,Keith,Guevarra,2022,male,0.0,High income,4.0,"Rutgers, the State University of New Jersey",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Keith Guevarra
119,8739,1230,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"School of Medicine, School of Public Health, and Institute for Health Informatics, University of Minnesota, Minneapolis, MN.",Minnesota,US-MN,pub.1138820071,ur.0604413006.33,R. Adams,Dudley,2021,,,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,R. Adams Dudley
120,9709,2242,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Department of Pediatrics, University of Washington, Seattle, WA 98195, USA.",Washington,US-WA,pub.1113668104,ur.0661574127.51,Amber,Hildreth,2019,female,1.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Amber Hildreth
121,10072,2605,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Division of Internal Medicine, University of Washington School of Medicine, Seattle, Washington, USA.",Washington,US-WA,pub.1100666881,ur.012222307333.26,Grant,Fletcher,2018,male,0.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Grant Fletcher
122,10392,2925,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Cambia Palliative Care Center of Excellence, Division of Pulmonary and Critical Care Medicine, University of Washington, Seattle, Washington",Washington,US-WA,pub.1032087725,ur.012634041317.01,J. Randall,Curtis,2016,,,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,J. Randall Curtis
123,10513,3046,Orlando,4167147.0,United States,US,grid.170430.1,University of Central Florida,"Department of Psychology and Institute for Simulation and Training, University of Central Florida, Orlando, Florida.",Florida,US-FL,pub.1059323981,ur.01326414072.49,Lauren E.,Benishek,2015,female,1.0,High income,4.0,University of Central Florida,University of Central Florida,Pub 4yr,Public 4yr,HSI,HSI,Lauren E. Benishek
124,10515,3048,Orlando,4167147.0,United States,US,grid.170430.1,University of Central Florida,"Department of Psychology and Institute for Simulation and Training, University of Central Florida, Orlando, Florida.",Florida,US-FL,pub.1059323981,ur.0652565775.88,Megan E.,Gregory,2015,female,1.0,High income,4.0,University of Central Florida,University of Central Florida,Pub 4yr,Public 4yr,HSI,HSI,Megan E. Gregory
125,10516,3049,Orlando,4167147.0,United States,US,grid.170430.1,University of Central Florida,"Department of Psychology and Institute for Simulation and Training, University of Central Florida, Orlando, Florida.",Florida,US-FL,pub.1059323981,ur.0604661023.51,Ashley M.,Hughes,2015,female,1.0,High income,4.0,University of Central Florida,University of Central Florida,Pub 4yr,Public 4yr,HSI,HSI,Ashley M. Hughes
126,10517,3050,Orlando,4167147.0,United States,US,grid.170430.1,University of Central Florida,"Department of Psychology and Institute for Simulation and Training, University of Central Florida, Orlando, Florida.",Florida,US-FL,pub.1059323981,ur.07772122021.88,Kyle,Heyne,2015,male,0.0,High income,4.0,University of Central Florida,University of Central Florida,Pub 4yr,Public 4yr,HSI,HSI,Kyle Heyne
128,10643,3176,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Department of Surgery, School of Medicine, University of Washington, Seattle, WA;",Washington,US-WA,pub.1078868677,ur.01305343136.05,Heather L,Evans,2013,female,1.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Heather L Evans
129,10644,3177,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Pulmonary and Critical Care Medicine, School of Medicine, University of Washington, Seattle, WA;",Washington,US-WA,pub.1078868677,ur.01361603261.60,Mark M,Wurfel,2013,male,0.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Mark M Wurfel
130,10645,3178,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Biomedical and Health Informatics, School of Medicine, University of Washington, Seattle, WA; ; Department of Linguistics, University of Washington, Seattle, WA.",Washington,US-WA,pub.1078868677,ur.01222017372.96,Meliha,Yetisgen-Yildiz,2013,female,1.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Meliha Yetisgen-Yildiz
131,10755,3288,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Department of Biomedical and Health Informatics, School of Medicine, University of Washington, Seattle, Washington, USA",Washington,US-WA,pub.1024038985,ur.01346175175.05,Cosmin Adrian,Bejan,2012,male,0.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Cosmin Adrian Bejan
132,10756,3289,Seattle,5809844.0,United States,US,grid.34477.33,University of Washington,"Department of Biomedical and Health Informatics, School of Medicine, University of Washington, Seattle, Washington, USA",Washington,US-WA,pub.1024038985,ur.01075423520.67,Fei,Xia,2012,male,0.0,High income,4.0,University of Washington - Seattle,University of Washington-Tacoma Campus,Pub 4yr,Public 4yr,AANAPISI,AANAPISI,Fei Xia
138,10764,3297,Atlanta,4180439.0,United States,US,grid.256304.6,Georgia State University,"Department of Chemistry, Georgia State University, Atlanta, GA 30303, USA",Georgia,US-GA,pub.1005869374,ur.01364657616.72,Hanjing,Peng,2012,female,1.0,High income,4.0,Georgia State University,Georgia State University,Pub 4yr,Public 4yr,AANAPISI & PBI,AANAPISI,Hanjing Peng
139,10765,3298,Atlanta,4180439.0,United States,US,grid.256304.6,Georgia State University,"Department of Chemistry, Georgia State University, Atlanta, GA 30303, USA",Georgia,US-GA,pub.1005869374,ur.01221034713.16,Nanting,Ni,2012,,,High income,4.0,Georgia State University,Georgia State University,Pub 4yr,Public 4yr,AANAPISI & PBI,AANAPISI,Nanting Ni
140,10766,3299,Atlanta,4180439.0,United States,US,grid.256304.6,Georgia State University,"Department of Chemistry, Georgia State University, Atlanta, GA 30303, USA",Georgia,US-GA,pub.1005869374,ur.011465456237.14,Binghe,Wang,2012,,,High income,4.0,Georgia State University,Georgia State University,Pub 4yr,Public 4yr,AANAPISI & PBI,AANAPISI,Binghe Wang
141,10950,3483,Miami,4164138.0,United States,US,grid.65456.34,Florida International University,"School of Computer Science and Information Sciences, Florida International University, Miami, FL, USA, 33199",Florida,US-FL,pub.1061717845,ur.015006666331.40,Tao,Li,2011,male,0.0,High income,4.0,Florida International University,Florida International University,Pub 4yr,Public 4yr,HSI,HSI,Tao Li
142,11473,479,New Brunswick,5101717.0,United States,US,grid.430387.b,"Rutgers, The State University of New Jersey","New Jersey Medical School, Rutgers University, Newark, New Jersey; and",New Jersey,US-NJ,pub.1136997363,ur.010155032467.28,Matthew,Linz,2021,male,0.0,High income,4.0,"Rutgers, the State University of New Jersey",Not Minority,Pub 4yr,Not Minority,AANAPISI & HSI,Not Minority,Matthew Linz
144,12651,1659,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","School of Medicine, University of California Davis, Sacramento, CA, USA",California,US-CA,pub.1092446442,ur.013266764757.53,Monica K.,Lieng,2017,female,1.0,High income,4.0,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Monica K. Lieng
146,12653,1661,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Computer Science, University of California Davis, Davis, CA, USA",California,US-CA,pub.1092446442,,Greg B.,Rehm,2017,male,0.0,High income,4.0,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Greg B. Rehm
147,12654,1662,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Computer Science, University of California Davis, Davis, CA, USA",California,US-CA,pub.1092446442,ur.012471404357.11,Edward C.,Guo,2017,male,0.0,High income,4.0,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Edward C. Guo
148,12655,1663,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Public Health Sciences, Division of Biostatistics, University of California Davis, Davis, CA, USA",California,US-CA,pub.1092446442,ur.01165321751.84,Sandra L.,Taylor,2017,female,1.0,High income,4.0,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Sandra L. Taylor
149,12656,1664,Davis,5341704.0,United States,US,grid.27860.3b,"University of California, Davis","Department of Mechanical and Aerospace Engineering, University of California Davis, Davis, CA, USA",California,US-CA,pub.1092446442,ur.01160206124.80,Jean-Pierre,Delplanque,2017,,,High income,4.0,"University of California, Davis",Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Jean-Pierre Delplanque
151,12795,1803,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the University of Minnesota Medical School, Minneapolis, Minnesota; Center for Design in Health, College of Design and Department of Anesthesiology, University of Minnesota, Minneapolis, Minnesota; Department of Anesthesiology, Harvard Medical School, Brigham and Women’s Hospital, Boston, Massachusetts; and Department of Cardiac Surgery and Department of Anesthesiology, Anesthesiology American Anesthesia of Minnesota, Minneapolis Heart Institute at Abbott Northwestern Hospital, Minneapolis, Minnesota.",Minnesota,US-MN,pub.1085554115,,Kathleen A.,Harder,2017,female,1.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Kathleen A. Harder
152,12799,1807,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the University of Minnesota Medical School, Minneapolis, Minnesota; Center for Design in Health, College of Design and Department of Anesthesiology, University of Minnesota, Minneapolis, Minnesota; Department of Anesthesiology, Harvard Medical School, Brigham and Women’s Hospital, Boston, Massachusetts; and Department of Cardiac Surgery and Department of Anesthesiology, Anesthesiology American Anesthesia of Minnesota, Minneapolis Heart Institute at Abbott Northwestern Hospital, Minneapolis, Minnesota.",Minnesota,US-MN,pub.1085554115,ur.01242744372.51,Ioanna,Apostolidou,2017,female,1.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Ioanna Apostolidou
153,12803,1811,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the University of Minnesota Medical School, Minneapolis, Minnesota; Center for Design in Health, College of Design and Department of Anesthesiology, University of Minnesota, Minneapolis, Minnesota; Department of Anesthesiology, Harvard Medical School, Brigham and Women’s Hospital, Boston, Massachusetts; and Department of Cardiac Surgery and Department of Anesthesiology, Anesthesiology American Anesthesia of Minnesota, Minneapolis Heart Institute at Abbott Northwestern Hospital, Minneapolis, Minnesota.",Minnesota,US-MN,pub.1085554115,ur.01157276172.83,Joyce A.,Wahr,2017,female,1.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Joyce A. Wahr
154,12807,1815,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the University of Minnesota Medical School, Minneapolis, Minnesota; Center for Design in Health, College of Design and Department of Anesthesiology, University of Minnesota, Minneapolis, Minnesota; Department of Anesthesiology, Harvard Medical School, Brigham and Women’s Hospital, Boston, Massachusetts; and Department of Cardiac Surgery and Department of Anesthesiology, Anesthesiology American Anesthesia of Minnesota, Minneapolis Heart Institute at Abbott Northwestern Hospital, Minneapolis, Minnesota.",Minnesota,US-MN,pub.1085554115,ur.0651160042.73,Douglas C.,Shook,2017,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Douglas C. Shook
155,12811,1819,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the University of Minnesota Medical School, Minneapolis, Minnesota; Center for Design in Health, College of Design and Department of Anesthesiology, University of Minnesota, Minneapolis, Minnesota; Department of Anesthesiology, Harvard Medical School, Brigham and Women’s Hospital, Boston, Massachusetts; and Department of Cardiac Surgery and Department of Anesthesiology, Anesthesiology American Anesthesia of Minnesota, Minneapolis Heart Institute at Abbott Northwestern Hospital, Minneapolis, Minnesota.",Minnesota,US-MN,pub.1085554115,ur.01125214473.41,R. Saeid,Farivar,2017,,,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,R. Saeid Farivar
156,12815,1823,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the University of Minnesota Medical School, Minneapolis, Minnesota; Center for Design in Health, College of Design and Department of Anesthesiology, University of Minnesota, Minneapolis, Minnesota; Department of Anesthesiology, Harvard Medical School, Brigham and Women’s Hospital, Boston, Massachusetts; and Department of Cardiac Surgery and Department of Anesthesiology, Anesthesiology American Anesthesia of Minnesota, Minneapolis Heart Institute at Abbott Northwestern Hospital, Minneapolis, Minnesota.",Minnesota,US-MN,pub.1085554115,ur.01065113732.01,Tjorvi E.,Perry,2017,male,0.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Tjorvi E. Perry
157,12819,1827,Minneapolis,5037649.0,United States,US,grid.17635.36,University of Minnesota,"From the University of Minnesota Medical School, Minneapolis, Minnesota; Center for Design in Health, College of Design and Department of Anesthesiology, University of Minnesota, Minneapolis, Minnesota; Department of Anesthesiology, Harvard Medical School, Brigham and Women’s Hospital, Boston, Massachusetts; and Department of Cardiac Surgery and Department of Anesthesiology, Anesthesiology American Anesthesia of Minnesota, Minneapolis Heart Institute at Abbott Northwestern Hospital, Minneapolis, Minnesota.",Minnesota,US-MN,pub.1085554115,ur.01014625045.54,Mojca R.,Konia,2017,female,1.0,High income,4.0,University of Minnesota - Twin Cities,University of Minnesota-Morris,Pub 4yr,Public 4yr,AANAPISI,NASNTI,Mojca R. Konia
158,12937,1945,Tempe,5317058.0,United States,US,grid.215654.1,Arizona State University,"Arizona State University, Tempe, Arizona.",Arizona,US-AZ,pub.1079391961,,Alyssa,Chauncey,2017,female,1.0,High income,4.0,Arizona State University,Not Minority,Pub 4yr,Not Minority,HSI,Not Minority,Alyssa Chauncey
159,13445,2457,Tucson,5318313.0,United States,US,grid.134563.6,University of Arizona,"Department of Child Health, Phoenix Children’s Hospital and University of Arizona College of Medicine-Phoenix, Phoenix, AZ.",Arizona,US-AZ,pub.1037999071,ur.01247300317.00,Heidi,Dalton,2016,female,1.0,High income,4.0,University of Arizona (The),University of Arizona,Pub 4yr,Public 4yr,HSI,HSI,Heidi Dalton
160,13716,2728,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"The Pennsylvania State University, Hershey, PA",Pennsylvania,US-PA,pub.1051686487,ur.0603575756.46,Scott B.,Armen,2014,male,0.0,High income,4.0,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Scott B. Armen
161,13717,2729,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"The Pennsylvania State University, Hershey, PA",Pennsylvania,US-PA,pub.1051686487,ur.013351572423.97,Carol V.,Freer,2014,female,1.0,High income,4.0,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Carol V. Freer
162,13718,2730,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"The Pennsylvania State University, Hershey, PA",Pennsylvania,US-PA,pub.1051686487,,John W.,Showalter,2014,male,0.0,High income,4.0,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,John W. Showalter
163,13719,2731,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"The Pennsylvania State University, Hershey, PA",Pennsylvania,US-PA,pub.1051686487,ur.01164004320.24,Tonya,Crook,2014,female,1.0,High income,4.0,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Tonya Crook
164,13720,2732,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"The Pennsylvania State University, Hershey, PA",Pennsylvania,US-PA,pub.1051686487,ur.0765710033.30,Cynthia J.,Whitener,2014,female,1.0,High income,4.0,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Cynthia J. Whitener
165,13721,2733,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"The Pennsylvania State University, Hershey, PA",Pennsylvania,US-PA,pub.1051686487,ur.01333455452.11,Cheri,West,2014,female,1.0,High income,4.0,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Cheri West
166,13722,2734,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"The Pennsylvania State University, Hershey, PA",Pennsylvania,US-PA,pub.1051686487,ur.0730047772.35,Thomas E.,Terndrup,2014,male,0.0,High income,4.0,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Thomas E. Terndrup
167,13723,2735,State College,5213681.0,United States,US,grid.29857.31,Pennsylvania State University,"The Pennsylvania State University, Hershey, PA",Pennsylvania,US-PA,pub.1051686487,ur.01074375555.72,Marissa,Grifasi,2014,female,1.0,High income,4.0,Pennsylvania State University - Penn State Abington,Not Minority,Pub 4yr,Not Minority,AANAPISI,Not Minority,Marissa Grifasi
