PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33484428","Association of AI quantified COVID-19 chest CT and patient outcome","Fang X, Kruger U, Homayounieh F, Chao H, Zhang J, Digumarthy SR, Arru CD, Kalra MK, Yan P.","Int J Comput Assist Radiol Surg. 2021 Mar;16(3):435-445. doi: 10.1007/s11548-020-02299-5. Epub 2021 Jan 23.","Fang X","Int J Comput Assist Radiol Surg","2021","2021/01/23","PMC7822756","","10.1007/s11548-020-02299-5"
"32023854","Using Machine Learning Techniques to Aid Empirical Antibiotic Therapy Decisions in the Intensive Care Unit of a General Hospital in Greece","Feretzakis G, Loupelis E, Sakagianni A, Kalles D, Martsoukou M, Lada M, Skarmoutsou N, Christopoulos C, Valakis K, Velentza A, Petropoulou S, Michelidou S, Alexiou K.","Antibiotics (Basel). 2020 Jan 31;9(2):50. doi: 10.3390/antibiotics9020050.","Feretzakis G","Antibiotics (Basel)","2020","2020/02/07","PMC7167935","","10.3390/antibiotics9020050"
"34891296","Automatic Detection of EEG Epileptiform Abnormalities in Traumatic Brain Injury using Deep Learning","Faghihpirayesh R, Ruf S, Rocca M, Garner R, Vespa P, Erdogmus D, Duncan D.","Annu Int Conf IEEE Eng Med Biol Soc. 2021 Nov;2021:302-305. doi: 10.1109/EMBC46164.2021.9630242.","Faghihpirayesh R","Annu Int Conf IEEE Eng Med Biol Soc","2021","2021/12/11","PMC8860400","NIHMS1775070","10.1109/EMBC46164.2021.9630242"
"35726257","Machine-learning based prediction and analysis of prognostic risk factors in patients with candidemia and bacteraemia: a 5-year analysis","Gao Y, Tang M, Li Y, Niu X, Li J, Fu C, Wang Z, Liu J, Song B, Chen H, Gao X, Guan X.","PeerJ. 2022 Jun 15;10:e13594. doi: 10.7717/peerj.13594. eCollection 2022.","Gao Y","PeerJ","2022","2022/06/21","PMC9206432","","10.7717/peerj.13594"
"33504775","Integrating deep learning CT-scan model, biological and clinical variables to predict severity of COVID-19 patients","Lassau N, Ammari S, Chouzenoux E, Gortais H, Herent P, Devilder M, Soliman S, Meyrignac O, Talabard MP, Lamarque JP, Dubois R, Loiseau N, Trichelair P, Bendjebbar E, Garcia G, Balleyguier C, Merad M, Stoclin A, Jegou S, Griscelli F, Tetelboum N, Li Y, Verma S, Terris M, Dardouri T, Gupta K, Neacsu A, Chemouni F, Sefta M, Jehanno P, Bousaid I, Boursin Y, Planchet E, Azoulay M, Dachary J, Brulport F, Gonzalez A, Dehaene O, Schiratti JB, Schutte K, Pesquet JC, Talbot H, Pronier E, Wainrib G, Clozel T, Barlesi F, Bellin MF, Blum MGB.","Nat Commun. 2021 Jan 27;12(1):634. doi: 10.1038/s41467-020-20657-4.","Lassau N","Nat Commun","2021","2021/01/28","PMC7840774","","10.1038/s41467-020-20657-4"
"33514699","Artificial intelligence in sepsis early prediction and diagnosis using unstructured data in healthcare","Goh KH, Wang L, Yeow AYK, Poh H, Li K, Yeow JJL, Tan GYH.","Nat Commun. 2021 Jan 29;12(1):711. doi: 10.1038/s41467-021-20910-4.","Goh KH","Nat Commun","2021","2021/01/30","PMC7846756","","10.1038/s41467-021-20910-4"
"34036277","A Machine Learning Classifier Improves Mortality Prediction Compared With Pediatric Logistic Organ Dysfunction-2 Score: Model Development and Validation","Prince RD, Akhondi-Asl A, Mehta NM, Geva A.","Crit Care Explor. 2021 May 17;3(5):e0426. doi: 10.1097/CCE.0000000000000426. eCollection 2021 May.","Prince RD","Crit Care Explor","2021","2021/05/26","PMC8133049","","10.1097/CCE.0000000000000426"
"30759094","An attention based deep learning model of clinical events in the intensive care unit","Kaji DA, Zech JR, Kim JS, Cho SK, Dangayach NS, Costa AB, Oermann EK.","PLoS One. 2019 Feb 13;14(2):e0211057. doi: 10.1371/journal.pone.0211057. eCollection 2019.","Kaji DA","PLoS One","2019","2019/02/14","PMC6373907","","10.1371/journal.pone.0211057"
"32650869","Workforce Shortage for Retinopathy of Prematurity Care and Emerging Role of Telehealth and Artificial Intelligence","Barrero-Castillero A, Corwin BK, VanderVeen DK, Wang JC.","Pediatr Clin North Am. 2020 Aug;67(4):725-733. doi: 10.1016/j.pcl.2020.04.012.","Barrero-Castillero A","Pediatr Clin North Am","2020","2020/07/12","","","10.1016/j.pcl.2020.04.012"
"33455913","Artificial intelligence-based prediction of transfusion in the intensive care unit in patients with gastrointestinal bleeding","Levi R, Carli F, Arévalo AR, Altinel Y, Stein DJ, Naldini MM, Grassi F, Zanoni A, Finkelstein S, Vieira SM, Sousa J, Barbieri R, Celi LA.","BMJ Health Care Inform. 2021 Jan;28(1):e100245. doi: 10.1136/bmjhci-2020-100245.","Levi R","BMJ Health Care Inform","2021","2021/01/18","PMC7813389","","10.1136/bmjhci-2020-100245"
"31469397","Prevalence of Financial Considerations Documented in Primary Care Encounters as Identified by Natural Language Processing Methods","Skaljic M, Patel IH, Pellegrini AM, Castro VM, Perlis RH, Gordon DD.","JAMA Netw Open. 2019 Aug 2;2(8):e1910399. doi: 10.1001/jamanetworkopen.2019.10399.","Skaljic M","JAMA Netw Open","2019","2019/08/31","PMC6724154","","10.1001/jamanetworkopen.2019.10399"
"36640602","Developing and evaluating a machine-learning-based algorithm to predict the incidence and severity of ARDS with continuous non-invasive parameters from ordinary monitors and ventilators","Wu W, Wang Y, Tang J, Yu M, Yuan J, Zhang G.","Comput Methods Programs Biomed. 2022 Dec 29;230:107328. doi: 10.1016/j.cmpb.2022.107328. Online ahead of print.","Wu W","Comput Methods Programs Biomed","2022","2023/01/14","","","10.1016/j.cmpb.2022.107328"
"31215441","Adopting a smart toothbrush with artificial intelligence may improve oral care in patients admitted to the intensive care unit","Scquizzato T, Gazzato A.","Crit Care. 2019 Jun 18;23(1):223. doi: 10.1186/s13054-019-2512-8.","Scquizzato T","Crit Care","2019","2019/06/20","PMC6582490","","10.1186/s13054-019-2512-8"
"35552418","ICU Cockpit: a platform for collecting multimodal waveform data, AI-based computational disease modeling and real-time decision support in the intensive care unit","Boss JM, Narula G, Straessle C, Willms J, Azzati J, Brodbeck D, Luethy R, Suter S, Buehler C, Muroi C, Mack DJ, Seric M, Baumann D, Keller E.","J Am Med Inform Assoc. 2022 Jun 14;29(7):1286-1291. doi: 10.1093/jamia/ocac064.","Boss JM","J Am Med Inform Assoc","2022","2022/05/13","PMC9196701","","10.1093/jamia/ocac064"
"36599174","Artificial intelligence can use physiological parameters to optimize treatment strategies and predict clinical deterioration of sepsis in ICU","Zhang Q, Wang J, Liu G, Zhang W.","Physiol Meas. 2023 Jan 30;44(1). doi: 10.1088/1361-6579/acb03b.","Zhang Q","Physiol Meas","2023","2023/01/04","","","10.1088/1361-6579/acb03b"
"36567570","[Research progress on application of artificial intelligence in early diagnosis and prediction of sepsis]","Wei Q, Xiu G.","Zhonghua Wei Zhong Bing Ji Jiu Yi Xue. 2022 Nov;34(11):1218-1221. doi: 10.3760/cma.j.cn121430-20220628-00611.","Wei Q","Zhonghua Wei Zhong Bing Ji Jiu Yi Xue","2022","2022/12/26","","","10.3760/cma.j.cn121430-20220628-00611"
"34020729","[Application of the artificial intelligence-rapid whole-genome sequencing diagnostic system in the neonatal/pediatric intensive care unit]","Luo F, Li HM.","Zhongguo Dang Dai Er Ke Za Zhi. 2021 May;23(5):433-437. doi: 10.7499/j.issn.1008-8830.2012143.","Luo F","Zhongguo Dang Dai Er Ke Za Zhi","2021","2021/05/22","PMC8140348","","10.7499/j.issn.1008-8830.2012143"
"32855840","Protecting Data Privacy in the Age of AI-Enabled Ophthalmology","Tom E, Keane PA, Blazes M, Pasquale LR, Chiang MF, Lee AY, Lee CS; AAO Artificial Intelligence Task Force.","Transl Vis Sci Technol. 2020 Jul 6;9(2):36. doi: 10.1167/tvst.9.2.36. eCollection 2020 Jul.","Tom E","Transl Vis Sci Technol","2020","2020/08/29","PMC7424948","","10.1167/tvst.9.2.36"
"31076048","Intensive Care Unit Telemedicine in the Era of Big Data, Artificial Intelligence, and Computer Clinical Decision Support Systems","Kindle RD, Badawi O, Celi LA, Sturland S.","Crit Care Clin. 2019 Jul;35(3):483-495. doi: 10.1016/j.ccc.2019.02.005. Epub 2019 Apr 6.","Kindle RD","Crit Care Clin","2019","2019/05/12","","","10.1016/j.ccc.2019.02.005"
"34932550","SWIFT: A deep learning approach to prediction of hypoxemic events in critically-Ill patients using SpO2 waveform prediction","Annapragada AV, Greenstein JL, Bose SN, Winters BD, Sarma SV, Winslow RL.","PLoS Comput Biol. 2021 Dec 21;17(12):e1009712. doi: 10.1371/journal.pcbi.1009712. eCollection 2021 Dec.","Annapragada AV","PLoS Comput Biol","2021","2021/12/21","PMC8730462","","10.1371/journal.pcbi.1009712"
"36579020","Using machine learning for the early prediction of sepsis-associated ARDS in the ICU and identification of clinical phenotypes with differential responses to treatment","Bai Y, Xia J, Huang X, Chen S, Zhan Q.","Front Physiol. 2022 Dec 12;13:1050849. doi: 10.3389/fphys.2022.1050849. eCollection 2022.","Bai Y","Front Physiol","2022","2022/12/29","PMC9791185","","10.3389/fphys.2022.1050849"
"35055347","Utilization of Decision Tree Algorithms for Supporting the Prediction of Intensive Care Unit Admission of Myasthenia Gravis: A Machine Learning-Based Approach","Chang CC, Yeh JH, Chiu HC, Chen YM, Jhou MJ, Liu TC, Lu CJ.","J Pers Med. 2022 Jan 2;12(1):32. doi: 10.3390/jpm12010032.","Chang CC","J Pers Med","2022","2022/01/21","PMC8778268","","10.3390/jpm12010032"
"35968284","Quantitative EEG parameters can improve the predictive value of the non-traumatic neurological ICU patient prognosis through the machine learning method","Tian J, Zhou Y, Liu H, Qu Z, Zhang L, Liu L.","Front Neurol. 2022 Jul 28;13:897734. doi: 10.3389/fneur.2022.897734. eCollection 2022.","Tian J","Front Neurol","2022","2022/08/15","PMC9366714","","10.3389/fneur.2022.897734"
"35320842","[Artificial Intelligence: Challenges and Applications in Intensive Care Medicine]","Martin L, Peine A, Gronholz M, Marx G, Bickenbach J.","Anasthesiol Intensivmed Notfallmed Schmerzther. 2022 Mar;57(3):199-209. doi: 10.1055/a-1423-8006. Epub 2022 Mar 23.","Martin L","Anasthesiol Intensivmed Notfallmed Schmerzther","2022","2022/03/23","","","10.1055/a-1423-8006"
"35822949","A Diabetic Retinopathy Classification Framework Based on Deep-Learning Analysis of OCT Angiography","Zang P, Hormel TT, Wang X, Tsuboi K, Huang D, Hwang TS, Jia Y.","Transl Vis Sci Technol. 2022 Jul 8;11(7):10. doi: 10.1167/tvst.11.7.10.","Zang P","Transl Vis Sci Technol","2022","2022/07/13","PMC9288155","","10.1167/tvst.11.7.10"
"34559819","eARDS: A multi-center validation of an interpretable machine learning algorithm of early onset Acute Respiratory Distress Syndrome (ARDS) among critically ill adults with COVID-19","Singhal L, Garg Y, Yang P, Tabaie A, Wong AI, Mohammed A, Chinthala L, Kadaria D, Sodhi A, Holder AL, Esper A, Blum JM, Davis RL, Clifford GD, Martin GS, Kamaleswaran R.","PLoS One. 2021 Sep 24;16(9):e0257056. doi: 10.1371/journal.pone.0257056. eCollection 2021.","Singhal L","PLoS One","2021","2021/09/24","PMC8462682","","10.1371/journal.pone.0257056"
"36196268","Using machine learning in prediction of ICU admission, mortality, and length of stay in the early stage of admission of COVID-19 patients","Saadatmand S, Salimifard K, Mohammadi R, Kuiper A, Marzban M, Farhadi A.","Ann Oper Res. 2022 Sep 29:1-29. doi: 10.1007/s10479-022-04984-x. Online ahead of print.","Saadatmand S","Ann Oper Res","2022","2022/10/05","PMC9521862","","10.1007/s10479-022-04984-x"
"34003953","Artificial Intelligence to Reduce Ocular Health Disparities: Moving From Concept to Implementation","Campbell JP, Mathenge C, Cherwek H, Balaskas K, Pasquale LR, Keane PA, Chiang MF; American Academy of Ophthalmology Task Force on Artificial Intelligence.","Transl Vis Sci Technol. 2021 Mar 1;10(3):19. doi: 10.1167/tvst.10.3.19.","Campbell JP","Transl Vis Sci Technol","2021","2021/05/18","PMC7991919","","10.1167/tvst.10.3.19"
"36648256","Overtriage, Undertriage, and Value of Care after Major Surgery: An Automated, Explainable Deep Learning-Enabled Classification System","Loftus TJ, Ruppert MM, Shickel B, Ozrazgat-Baslanti T, Balch JA, Hu D, Javed A, Madbak F, Skarupa DJ, Guirgis F, Efron PA, Tighe PJ, Hogan WR, Rashidi P, Upchurch GR Jr, Bihorac A.","J Am Coll Surg. 2023 Feb 1;236(2):279-291. doi: 10.1097/XCS.0000000000000471. Epub 2022 Nov 8.","Loftus TJ","J Am Coll Surg","2023","2023/01/17","","","10.1097/XCS.0000000000000471"
"34839182","Natural language processing of head CT reports to identify intracranial mass effect: CTIME algorithm","Gordon AJ, Banerjee I, Block J, Winstead-Derlega C, Wilson JG, Mitarai T, Jarrett M, Sanyal J, Rubin DL, Wintermark M, Kohn MA.","Am J Emerg Med. 2022 Jan;51:388-392. doi: 10.1016/j.ajem.2021.11.001. Epub 2021 Nov 9.","Gordon AJ","Am J Emerg Med","2022","2021/11/28","","","10.1016/j.ajem.2021.11.001"
"35632266","A Deep Learning Approach for Gait Event Detection from a Single Shank-Worn IMU: Validation in Healthy and Neurological Cohorts","Romijnders R, Warmerdam E, Hansen C, Schmidt G, Maetzler W.","Sensors (Basel). 2022 May 19;22(10):3859. doi: 10.3390/s22103859.","Romijnders R","Sensors (Basel)","2022","2022/05/28","PMC9143761","","10.3390/s22103859"
"36611323","A Hybrid System of Braden Scale and Machine Learning to Predict Hospital-Acquired Pressure Injuries (Bedsores): A Retrospective Observational Cohort Study","Dweekat OY, Lam SS, McGrath L.","Diagnostics (Basel). 2022 Dec 22;13(1):31. doi: 10.3390/diagnostics13010031.","Dweekat OY","Diagnostics (Basel)","2022","2023/01/08","PMC9818183","","10.3390/diagnostics13010031"
"35360262","Characteristics of Computed Tomography Images for Patients with Acute Liver Injury Caused by Sepsis under Deep Learning Algorithm","Wang H, Bao Q, Cao D, Dong S, Wu L.","Contrast Media Mol Imaging. 2022 Mar 20;2022:9322196. doi: 10.1155/2022/9322196. eCollection 2022.","Wang H","Contrast Media Mol Imaging","2022","2022/04/01","PMC8958061","","10.1155/2022/9322196"
"27333269","Natural Language Processing to Assess Documentation of Features of Critical Illness in Discharge Documents of Acute Respiratory Distress Syndrome Survivors","Weissman GE, Harhay MO, Lugo RM, Fuchs BD, Halpern SD, Mikkelsen ME.","Ann Am Thorac Soc. 2016 Sep;13(9):1538-45. doi: 10.1513/AnnalsATS.201602-131OC.","Weissman GE","Ann Am Thorac Soc","2016","2016/06/23","PMC5059499","","10.1513/AnnalsATS.201602-131OC"
"35842332","Internal and external validation of machine learning-assisted prediction models for mechanical ventilation-associated severe acute kidney injury","Huang S, Teng Y, Du J, Zhou X, Duan F, Feng C.","Aust Crit Care. 2022 Jul 13:S1036-7314(22)00087-X. doi: 10.1016/j.aucc.2022.06.001. Online ahead of print.","Huang S","Aust Crit Care","2022","2022/07/16","","","10.1016/j.aucc.2022.06.001"
"35489978","POTTER-ICU: An artificial intelligence smartphone-accessible tool to predict the need for intensive care after emergency surgery","Gebran A, Vapsi A, Maurer LR, El Moheb M, Naar L, Thakur SS, Sinyard R, Daye D, Velmahos GC, Bertsimas D, Kaafarani HMA.","Surgery. 2022 Jul;172(1):470-475. doi: 10.1016/j.surg.2022.03.023. Epub 2022 Apr 28.","Gebran A","Surgery","2022","2022/04/30","","","10.1016/j.surg.2022.03.023"
"36641503","Optimizing variant-specific therapeutic SARS-CoV-2 decoys using deep-learning-guided molecular dynamics simulations","Köchl K, Schopper T, Durmaz V, Parigger L, Singh A, Krassnigg A, Cespugli M, Wu W, Yang X, Zhang Y, Wang WW, Selluski C, Zhao T, Zhang X, Bai C, Lin L, Hu Y, Xie Z, Zhang Z, Yan J, Zatloukal K, Gruber K, Steinkellner G, Gruber CC.","Sci Rep. 2023 Jan 14;13(1):774. doi: 10.1038/s41598-023-27636-x.","Köchl K","Sci Rep","2023","2023/01/14","PMC9840421","","10.1038/s41598-023-27636-x"
"31102462","Shading artifact correction in breast CT using an interleaved deep learning segmentation and maximum-likelihood polynomial fitting approach","Ghazi P, Hernandez AM, Abbey C, Yang K, Boone JM.","Med Phys. 2019 Aug;46(8):3414-3430. doi: 10.1002/mp.13599. Epub 2019 Jun 23.","Ghazi P","Med Phys","2019","2019/05/19","PMC8761082","NIHMS1655924","10.1002/mp.13599"
"35864468","Automated diagnosis and prognosis of COVID-19 pneumonia from initial ER chest X-rays using deep learning","Chamberlin JH, Aquino G, Nance S, Wortham A, Leaphart N, Paladugu N, Brady S, Baird H, Fiegel M, Fitzpatrick L, Kocher M, Ghesu F, Mansoor A, Hoelzer P, Zimmermann M, James WE, Dennis DJ, Houston BA, Kabakus IM, Baruah D, Schoepf UJ, Burt JR.","BMC Infect Dis. 2022 Jul 21;22(1):637. doi: 10.1186/s12879-022-07617-7.","Chamberlin JH","BMC Infect Dis","2022","2022/07/21","PMC9301895","","10.1186/s12879-022-07617-7"
"36386374","Prediction of 30-day mortality in heart failure patients with hypoxic hepatitis: Development and external validation of an interpretable machine learning model","Sun R, Wang X, Jiang H, Yan Y, Dong Y, Yan W, Luo X, Miu H, Qi L, Huang Z.","Front Cardiovasc Med. 2022 Oct 28;9:1035675. doi: 10.3389/fcvm.2022.1035675. eCollection 2022.","Sun R","Front Cardiovasc Med","2022","2022/11/17","PMC9649827","","10.3389/fcvm.2022.1035675"
"35836646","Prediction of Patients with COVID-19 Requiring Intensive Care: A Cross-sectional Study Based on Machine-learning Approach from Iran","Sabetian G, Azimi A, Kazemi A, Hoseini B, Asmarian N, Khaloo V, Zand F, Masjedi M, Shahriarirad R, Shahriarirad S.","Indian J Crit Care Med. 2022 Jun;26(6):688-695. doi: 10.5005/jp-journals-10071-24226.","Sabetian G","Indian J Crit Care Med","2022","2022/07/15","PMC9237161","","10.5005/jp-journals-10071-24226"
"31351213","Artificial intelligence for assisting diagnostics and assessment of Parkinson's disease-A review","Belić M, Bobić V, Badža M, Šolaja N, Đurić-Jovičić M, Kostić VS.","Clin Neurol Neurosurg. 2019 Sep;184:105442. doi: 10.1016/j.clineuro.2019.105442. Epub 2019 Jul 16.","Belić M","Clin Neurol Neurosurg","2019","2019/07/28","","","10.1016/j.clineuro.2019.105442"
"36209629","Discovery of novel SARS-CoV-2 3CL protease covalent inhibitors using deep learning-based screen","Wang L, Yu Z, Wang S, Guo Z, Sun Q, Lai L.","Eur J Med Chem. 2022 Dec 15;244:114803. doi: 10.1016/j.ejmech.2022.114803. Epub 2022 Oct 3.","Wang L","Eur J Med Chem","2022","2022/10/09","PMC9528019","","10.1016/j.ejmech.2022.114803"
"30381856","Artificial intelligence and amniotic fluid multiomics: prediction of perinatal outcome in asymptomatic women with short cervix","Bahado-Singh RO, Sonek J, McKenna D, Cool D, Aydas B, Turkoglu O, Bjorndahl T, Mandal R, Wishart D, Friedman P, Graham SF, Yilmaz A.","Ultrasound Obstet Gynecol. 2019 Jul;54(1):110-118. doi: 10.1002/uog.20168.","Bahado-Singh RO","Ultrasound Obstet Gynecol","2019","2018/11/02","","","10.1002/uog.20168"
"34842324","Applications of artificial intelligence in dentistry: A comprehensive review","Carrillo-Perez F, Pecho OE, Morales JC, Paravina RD, Della Bona A, Ghinea R, Pulgar R, Pérez MDM, Herrera LJ.","J Esthet Restor Dent. 2022 Jan;34(1):259-280. doi: 10.1111/jerd.12844. Epub 2021 Nov 29.","Carrillo-Perez F","J Esthet Restor Dent","2022","2021/11/29","","","10.1111/jerd.12844"
"34246044","Comparison of deep learning, radiomics and subjective assessment of chest CT findings in SARS-CoV-2 pneumonia","Arru C, Ebrahimian S, Falaschi Z, Hansen JV, Pasche A, Lyhne MD, Zimmermann M, Durlak F, Mitschke M, Carriero A, Nielsen-Kudsk JE, Kalra MK, Saba L.","Clin Imaging. 2021 Dec;80:58-66. doi: 10.1016/j.clinimag.2021.06.036. Epub 2021 Jul 1.","Arru C","Clin Imaging","2021","2021/07/10","PMC8247202","","10.1016/j.clinimag.2021.06.036"
"34180025","Risk factors for adverse outcomes during mechanical ventilation of 1152 COVID-19 patients: a multicenter machine learning study with highly granular data from the Dutch Data Warehouse","Fleuren LM, Tonutti M, de Bruin DP, Lalisang RCA, Dam TA, Gommers D, Cremer OL, Bosman RJ, Vonk SJJ, Fornasa M, Machado T, van der Meer NJM, Rigter S, Wils EJ, Frenzel T, Dongelmans DA, de Jong R, Peters M, Kamps MJA, Ramnarain D, Nowitzky R, Nooteboom FGCA, de Ruijter W, Urlings-Strop LC, Smit EGM, Mehagnoul-Schipper DJ, Dormans T, de Jager CPC, Hendriks SHA, Oostdijk E, Reidinga AC, Festen-Spanjer B, Brunnekreef G, Cornet AD, van den Tempel W, Boelens AD, Koetsier P, Lens J, Achterberg S, Faber HJ, Karakus A, Beukema M, Entjes R, de Jong P, Houwert T, Hovenkamp H, Noorduijn Londono R, Quintarelli D, Scholtemeijer MG, de Beer AA, Cinà G, Beudel M, de Keizer NF, Hoogendoorn M, Girbes ARJ, Herter WE, Elbers PWG, Thoral PJ; Dutch ICU Data Sharing Against COVID-19 Collaborators.","Intensive Care Med Exp. 2021 Jun 28;9(1):32. doi: 10.1186/s40635-021-00397-5.","Fleuren LM","Intensive Care Med Exp","2021","2021/06/28","PMC8236316","","10.1186/s40635-021-00397-5"
"35800164","Comparison of Four Machine Learning Techniques for Prediction of Intensive Care Unit Length of Stay in Heart Transplantation Patients","Wang K, Yan LZ, Li WZ, Jiang C, Wang NN, Zheng Q, Dong NG, Shi JW.","Front Cardiovasc Med. 2022 Jun 21;9:863642. doi: 10.3389/fcvm.2022.863642. eCollection 2022.","Wang K","Front Cardiovasc Med","2022","2022/07/08","PMC9253610","","10.3389/fcvm.2022.863642"
"35835943","Explainable Machine-Learning Model for Prediction of In-Hospital Mortality in Septic Patients Requiring Intensive Care Unit Readmission","Hu C, Li L, Li Y, Wang F, Hu B, Peng Z.","Infect Dis Ther. 2022 Aug;11(4):1695-1713. doi: 10.1007/s40121-022-00671-3. Epub 2022 Jul 14.","Hu C","Infect Dis Ther","2022","2022/07/14","PMC9282631","","10.1007/s40121-022-00671-3"
"34501335","A Machine Learning Predictive Model for Post-Ureteroscopy Urosepsis Needing Intensive Care Unit Admission: A Case-Control YAU Endourology Study from Nine European Centres","Pietropaolo A, Geraghty RM, Veeratterapillay R, Rogers A, Kallidonis P, Villa L, Boeri L, Montanari E, Atis G, Emiliani E, Sener TE, Al Jaafari F, Fitzpatrick J, Shaw M, Harding C, Somani BK.","J Clin Med. 2021 Aug 29;10(17):3888. doi: 10.3390/jcm10173888.","Pietropaolo A","J Clin Med","2021","2021/09/10","PMC8432042","","10.3390/jcm10173888"
"35270190","Predictive Analysis of Healthcare-Associated Blood Stream Infections in the Neonatal Intensive Care Unit Using Artificial Intelligence: A Single Center Study","Montella E, Ferraro A, Sperlì G, Triassi M, Santini S, Improta G.","Int J Environ Res Public Health. 2022 Feb 22;19(5):2498. doi: 10.3390/ijerph19052498.","Montella E","Int J Environ Res Public Health","2022","2022/03/10","PMC8909182","","10.3390/ijerph19052498"
"36619718","Identification of Immune-Related Genes and Small-Molecule Drugs in Interstitial Cystitis/Bladder Pain Syndrome Based on the Integrative Machine Learning Algorithms and Molecular Docking","Jiang Y, Zhu X, Al-Danakh AY, Chen Q, Yang D.","J Immunol Res. 2022 Dec 28;2022:2069756. doi: 10.1155/2022/2069756. eCollection 2022.","Jiang Y","J Immunol Res","2022","2023/01/09","PMC9812613","","10.1155/2022/2069756"
"33620440","Mortality risk stratification using artificial intelligence-augmented electrocardiogram in cardiac intensive care unit patients","Jentzer JC, Kashou AH, Lopez-Jimenez F, Attia ZI, Kapa S, Friedman PA, Noseworthy PA.","Eur Heart J Acute Cardiovasc Care. 2021 Jun 30;10(5):532-541. doi: 10.1093/ehjacc/zuaa021.","Jentzer JC","Eur Heart J Acute Cardiovasc Care","2021","2021/02/23","PMC8245143","","10.1093/ehjacc/zuaa021"
"26022228","Natural Language Processing for Real-Time Catheter-Associated Urinary Tract Infection Surveillance: Results of a Pilot Implementation Trial","Branch-Elliman W, Strymish J, Kudesia V, Rosen AK, Gupta K.","Infect Control Hosp Epidemiol. 2015 Sep;36(9):1004-10. doi: 10.1017/ice.2015.122. Epub 2015 May 29.","Branch-Elliman W","Infect Control Hosp Epidemiol","2015","2015/05/30","","","10.1017/ice.2015.122"
"34131785","Deep learning image reconstruction algorithm for pancreatic protocol dual-energy computed tomography: image quality and quantification of iodine concentration","Noda Y, Kawai N, Nagata S, Nakamura F, Mori T, Miyoshi T, Suzuki R, Kitahara F, Kato H, Hyodo F, Matsuo M.","Eur Radiol. 2022 Jan;32(1):384-394. doi: 10.1007/s00330-021-08121-3. Epub 2021 Jun 15.","Noda Y","Eur Radiol","2022","2021/06/16","","","10.1007/s00330-021-08121-3"
"35424985","Discovery of new Cdc2-like kinase 4 (CLK4) inhibitors via pharmacophore exploration combined with flexible docking-based ligand/receptor contact fingerprints and machine learning","Al-Tawil MF, Daoud S, Hatmal MM, Taha MO.","RSC Adv. 2022 Apr 5;12(17):10686-10700. doi: 10.1039/d2ra00136e. eCollection 2022 Mar 31.","Al-Tawil MF","RSC Adv","2022","2022/04/15","PMC8982525","","10.1039/d2ra00136e"
"34322526","Predicting Intensive Care Unit Length of Stay After Acute Type A Aortic Dissection Surgery Using Machine Learning","Chen Q, Zhang B, Yang J, Mo X, Zhang L, Li M, Chen Z, Fang J, Wang F, Huang W, Fan R, Zhang S.","Front Cardiovasc Med. 2021 Jul 12;8:675431. doi: 10.3389/fcvm.2021.675431. eCollection 2021.","Chen Q","Front Cardiovasc Med","2021","2021/07/29","PMC8310912","","10.3389/fcvm.2021.675431"
"33949961","Predicting Intensive Care Unit Length of Stay and Mortality Using Patient Vital Signs: Machine Learning Model Development and Validation","Alghatani K, Ammar N, Rezgui A, Shaban-Nejad A.","JMIR Med Inform. 2021 May 5;9(5):e21347. doi: 10.2196/21347.","Alghatani K","JMIR Med Inform","2021","2021/05/05","PMC8135024","","10.2196/21347"
"35923088","A scoping review of publicly available language tasks in clinical natural language processing","Gao Y, Dligach D, Christensen L, Tesch S, Laffin R, Xu D, Miller T, Uzuner O, Churpek MM, Afshar M.","J Am Med Inform Assoc. 2022 Sep 12;29(10):1797-1806. doi: 10.1093/jamia/ocac127.","Gao Y","J Am Med Inform Assoc","2022","2022/08/04","PMC9471718","","10.1093/jamia/ocac127"
"34892140","An Interpretable Intensive Care Unit Mortality Risk Calculator","Ang ETY, Nambiar M, Soh YS, Tan VYF.","Annu Int Conf IEEE Eng Med Biol Soc. 2021 Nov;2021:4152-4158. doi: 10.1109/EMBC46164.2021.9631058.","Ang ETY","Annu Int Conf IEEE Eng Med Biol Soc","2021","2021/12/11","","","10.1109/EMBC46164.2021.9631058"
"35322288","Natural language processing diagnosed behavioral disturbance vs confusion assessment method for the intensive care unit: prevalence, patient characteristics, overlap, and association with treatment and outcome","Young M, Holmes N, Kishore K, Marhoon N, Amjad S, Serpa-Neto A, Bellomo R.","Intensive Care Med. 2022 May;48(5):559-569. doi: 10.1007/s00134-022-06650-z. Epub 2022 Mar 23.","Young M","Intensive Care Med","2022","2022/03/24","PMC9050783","","10.1007/s00134-022-06650-z"
"28269832","Interpretable Deep Models for ICU Outcome Prediction","Che Z, Purushotham S, Khemani R, Liu Y.","AMIA Annu Symp Proc. 2017 Feb 10;2016:371-380. eCollection 2016.","Che Z","AMIA Annu Symp Proc","2017","2017/03/09","PMC5333206","",""
